Datetime,L1Hit,L3Hit,Miss,BigMiss,L1Hit2,L3Hit2,Miss2,BigMiss2,StressGT,GT
9:38:22,100,0,0,0,0,0,100,0,14.45,0
9:38:22,100,0,0,0,0,0,100,0,8.71,0
9:38:22,100,0,0,0,0,0,100,0,18.25,0
9:38:22,100,0,0,0,0,0,100,0,12.23,0
9:38:22,100,0,0,0,0,0,87.5,12.5,1.21,0
9:38:23,100,0,0,0,0,0,100,0,1.04,0
9:38:23,100,0,0,0,0,0,100,0,14.19,0
9:38:23,100,0,0,0,0,0,100,0,8.75,0
9:38:23,100,0,0,0,0,0,100,0,3.04,0
9:38:23,100,0,0,0,0,0,100,0,8.37,0
9:38:23,100,0,0,0,0,0,87.5,12.5,10.76,0
9:38:23,100,0,0,0,0,0,100,0,17.81,0
9:38:23,100,0,0,0,0,0,100,0,15.14,0
9:38:23,100,0,0,0,0,0,87.5,12.5,9.65,0
9:38:23,100,0,0,0,0,0,100,0,18.7,0
9:38:23,100,0,0,0,0,0,100,0,5.25,0
9:38:23,100,0,0,0,0,0,100,0,13.17,0
9:38:23,100,0,0,0,0,0,87.5,12.5,15.17,0
9:38:23,100,0,0,0,0,0,87.5,12.5,9.24,0
9:38:23,100,0,0,0,0,0,100,0,14.32,0
9:38:23,100,0,0,0,0,0,87.5,12.5,5.59,0
9:38:23,100,0,0,0,0,0,87.5,12.5,6.03,0
9:38:23,100,0,0,0,0,0,100,0,5.59,0
9:38:23,100,0,0,0,0,0,87.5,12.5,6.75,0
9:38:23,100,0,0,0,0,0,87.5,12.5,16.06,0
9:38:23,100,0,0,0,0,0,87.5,12.5,9.91,0
9:38:23,100,0,0,0,0,0,87.5,12.5,16.39,0
9:38:23,100,0,0,0,0,0,100,0,12.02,0
9:38:23,100,0,0,0,0,0,75,25,18.52,0
9:38:23,100,0,0,0,0,0,100,0,9.97,0
9:38:23,100,0,0,0,0,0,100,0,12.3,0
9:38:23,100,0,0,0,0,0,100,0,6.86,0
9:38:23,100,0,0,0,0,0,100,0,3.1,0
9:38:23,100,0,0,0,0,0,100,0,3.1,0
9:38:23,100,0,0,0,0,0,87.5,12.5,18.45,0
9:38:23,100,0,0,0,0,0,87.5,12.5,1.66,0
9:38:23,100,0,0,0,0,0,100,0,2.25,0
9:38:23,100,0,0,0,0,0,100,0,3.35,0
9:38:23,100,0,0,0,0,0,87.5,12.5,8.25,0
9:38:23,100,0,0,0,0,0,100,0,10.14,0
9:38:23,100,0,0,0,0,0,100,0,13.38,0
9:38:23,100,0,0,0,0,0,100,0,3.07,0
9:38:23,100,0,0,0,0,0,100,0,8.89,0
9:38:23,100,0,0,0,0,0,100,0,99.86,0
9:38:23,50,37.5,0,12.5,0,0,100,0,87.52,0
9:38:23,50,25,25,0,0,0,100,0,94.08,0
9:38:23,50,37.5,12.5,0,0,0,100,0,78.42,0
9:38:23,50,37.5,12.5,0,0,0,100,0,93.03,0
9:38:23,50,25,25,0,0,0,87.5,12.5,97.38,0
9:38:23,25,37.5,37.5,0,0,0,100,0,99.74,0
9:38:23,37.5,37.5,25,0,0,0,100,0,97.24,0
9:38:23,50,12.5,37.5,0,0,0,87.5,12.5,98.47,0
9:38:23,50,25,25,0,0,0,100,0,88.39,0
9:38:23,50,0,37.5,12.5,0,0,100,0,77.26,0
9:38:23,50,25,25,0,0,0,100,0,91.6,0
9:38:23,50,37.5,12.5,0,0,0,100,0,91.84,0
9:38:23,50,12.5,37.5,0,0,0,100,0,84.86,0
9:38:23,50,25,25,0,0,0,100,0,94.08,0
9:38:23,50,12.5,37.5,0,0,0,100,0,92.16,0
9:38:23,50,0,25,25,0,0,100,0,83.66,0
9:38:23,37.5,25,37.5,0,0,0,100,0,83.72,0
9:38:23,50,0,50,0,0,0,100,0,87.57,0
9:38:23,50,12.5,37.5,0,0,0,100,0,92.9,0
9:38:23,50,12.5,37.5,0,0,0,87.5,12.5,99.71,0
9:38:23,50,12.5,37.5,0,0,0,75,25,99.2,0
9:38:23,50,0,50,0,0,0,87.5,12.5,83.31,0
9:38:23,50,25,25,0,0,0,100,0,93.13,0
9:38:23,50,37.5,12.5,0,0,0,100,0,86.8,0
9:38:23,50,25,25,0,0,0,87.5,12.5,98.13,0
9:38:23,50,0,50,0,0,0,100,0,80.44,0
9:38:23,50,0,50,0,0,0,100,0,78.1,0
9:38:23,50,25,12.5,12.5,0,0,100,0,90.18,0
9:38:23,50,12.5,37.5,0,0,0,100,0,79.95,0
9:38:23,50,0,50,0,0,0,100,0,93.43,0
9:38:23,50,12.5,37.5,0,0,0,100,0,91.17,0
9:38:23,50,25,25,0,0,0,100,0,98.09,0
9:38:23,50,25,25,0,0,0,87.5,12.5,83.51,0
