Datetime,L1Hit,L3Hit,Miss,BigMiss,L1Hit2,L3Hit2,Miss2,BigMiss2,GT
11:10:34.092000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:34.293000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:34.493000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:34.693000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:34.893000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:35.093000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:35.294000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:35.494000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:35.694000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:35.894000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:36.094000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:36.295000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:36.495000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:36.695000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:36.895000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:37.095000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:37.296000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:37.496000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:37.696000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:37.896000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:38.097000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:38.297000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:38.497000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:38.697000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:38.897000,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:39.098000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:39.298000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:39.498000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:39.698000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:39.898000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:10:40.099000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11:10:40.299000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:40.499000,25.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,1
11:10:40.699000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:40.899000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:41.100000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:41.300000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:41.500000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:41.700000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:41.901000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:42.101000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:42.301000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:42.501000,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1
11:10:42.701000,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1
11:10:42.902000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:43.102000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:43.302000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:43.502000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:43.702000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:43.903000,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1
11:10:44.103000,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1
11:10:44.303000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:44.503000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:44.703000,25.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,1
11:10:44.904000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:45.104000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:45.304000,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1
11:10:45.504000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:45.705000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:45.905000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:46.105000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:46.305000,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1
11:10:46.505000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:46.706000,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,1
11:10:46.906000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:47.106000,25.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,1
11:10:47.306000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:47.506000,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1
11:10:47.707000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:47.907000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:48.107000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:48.307000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:48.507000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:48.708000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:48.908000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:49.108000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:49.308000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:49.509000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:49.709000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:49.909000,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1
11:10:50.109000,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1
11:10:50.309000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:50.510000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:50.710000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:50.910000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:51.110000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:51.310000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:51.511000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:51.711000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:51.911000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:52.111000,25.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,1
11:10:52.312000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:52.512000,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1
11:10:52.712000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:52.912000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:53.112000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:53.313000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:53.513000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:53.713000,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1
11:10:53.913000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:54.113000,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,1
11:10:54.314000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:54.514000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:54.714000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:54.914000,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1
11:10:55.115000,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1
11:10:55.315000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:55.515000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:55.715000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:55.915000,25.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,1
11:10:56.116000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:56.316000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:56.516000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:56.716000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
11:10:56.916000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:57.117000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:57.317000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:57.517000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:57.717000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:57.918000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:58.118000,25.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,1
11:10:58.318000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:58.518000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:58.718000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:58.919000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:59.119000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:59.319000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:59.519000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:59.719000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:10:59.920000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:11:00.120000,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,1
11:11:00.320000,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
